marketCategory,year,qtr,gearGroup,portComplex,species,live,comLands
959,1991,3,NET,OSB,BCAC,N,13
960,1995,3,HKL,BRG,URCK,N,10
225,1991,4,TWL,OSF,UDAB,N,141572
678,1999,3,HKL,BRG,LSPN,N,100
150,2000,1,TWL,OSB,SHRK,N,104
171,2000,2,HKL,ERK,URAY,N,320
250,1995,4,TWL,MNT,DBRK,N,871
250,1998,3,FPT,OSF,URCK,N,72
253,1996,3,HKL,OSF,GSRK,N,7
250,1996,3,TWL,BRG,BANK,N,101984
667,1994,2,HKL,MNT,BLGL,N,130
250,1993,1,NET,OLA,GSPT,N,15
254,1997,3,TWL,CRS,CLPR,N,39
